ID,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7,dia_8,dia_9,dia_10,dia_11,dia_12,dia_13,dia_14,dia_15,dia_16,dia_17,dia_18,dia_19,dia_20,dia_21,dia_22,dia_23,dia_24,dia_25,dia_26,dia_27,dia_28,dia_29,dia_30,dia_31,dia_32,dia_33,dia_34,dia_35,dia_36,dia_37,dia_38,dia_39,dia_40,dia_41,dia_42,dia_43,dia_44,dia_45,dia_46,dia_47,dia_48,dia_49,dia_50,dia_51,dia_52,dia_53,dia_54,dia_55,dia_56,dia_57,dia_58,dia_59,dia_60,dia_61,dia_62,dia_63,dia_64,dia_65,dia_66,dia_67,dia_68,dia_69,dia_70,dia_71,dia_72,dia_73,dia_74,dia_75,dia_76,dia_77,dia_78,dia_79,dia_80,dia_81,dia_82,dia_83,dia_84,dia_85,dia_86,dia_87,dia_88,dia_89,dia_90,pago,fecha,monto
18,0.0,45.26,0.0,0.0,0.0,0.0,-12.7,-59.97,16.480000000000004,0.0,0.0,-459.27,533.97,0.0,-42.38,-6.86,0.0,0.0,0.0,-226.53,240.41,-8.55,-893.1,0.0,0.0,-101.89,883.8,-23.1,48.37000000000001,-28.98999999999995,0.0,0.0,-19.07,140.0,-97.55,-175.55,-268.83000000000004,0.0,0.0,-292.37,830.9599999999998,36.41,-96.48,0.0,0.0,0.0,-10.0,-50.19000000000001,0.0,-10.0,-310.42,0.0,0.0,-300.2700000000001,779.3000000000002,-29.1,0.0,-21.1,0.0,0.0,-34.76,-1.05,0.0,0.0,-226.73,0.0,0.0,-560.5,798.79,0.0,-38.02,-20.05,0.0,0.0,-42.72,-17.13,-5.02,0.0,-719.8700000000001,0.0,0.0,-46.38,940.71,0.0,-1.0,-40.89,0.0,0.0,0.0,0.0,NO,2019-07-10 21:20:38.137,100.0
19,0.0,1.1102230246251563e-16,0.0,-20.94,21.39,-13.58,8.881784197001252e-16,-35.46,50.72000000000001,-4.369999999999998,3.0,-11.990000000000002,-5.0,0.0,14.78,-4.0699999999999985,0.0,-9.62,15.0,-4.35,-36.29,42.27000000000001,0.0,0.0,0.0,0.0,-0.6600000000000108,0.0,-0.3799999999999999,0.0,0.0,0.0,0.0,0.0,1.85,-3.79,0.0,0.0,0.0,0.0,0.0,-2.99,0.0,2.13,-0.39,3.949999999999996,-24.59,0.0,22.46,-22.46,24.0,-1.16,0.0,0.0,-5.34,8.15,-2.0,-38.0,-164.82,204.13,-1.0,0.0,0.0,0.0,-7.3900000000000015,-30.0,-2.799999999999999,2.0,39.91,-3.68,0.0,-6.949999999999998,-99.72,108.33,0.0,0.0,-3.24,-6.8,-29.81,39.4,-1.1102230246251563e-16,0.0,-17.41,19.7,0.0,-4.0,4.0,0.0,0.0,0.0,SI,2019-07-10 22:42:01.733,210.0
22,-289.16,290.9,0.0,0.0,-22.02,-63.34,85.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.21,-3.34,-266.0,290.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-12.5,-148.12,-186.93,349.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-5.85,-13.25,-319.15,319.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.32999999999996,-166.93,319.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-8.8,-308.92,319.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.25,SI,2019-07-11 21:55:37.123,240.0
23,-31.53,195.0,0.0,0.0,0.0,-1.98,0.0,105.15,-35.0,-295.66,0.0,0.0,32.12000000000003,-11.59,-315.0,325.0,-115.68,0.0,0.0,255.0,0.0,0.0,-35.0,-634.92,0.0,0.0,548.4399999999998,-15.99,0.0,0.0,0.0,0.0,0.0,-2.39,0.0,19.680000000000007,-26.65,-70.38999999999999,0.0,0.0,80.44000000000005,0.010000000000000007,0.010000000000005116,-42.78999999999999,0.0,0.0,0.0,45.0,-2.99,0.0,0.0,-100.0,0.0,0.0,100.0,-465.15,463.82999999999987,-2.78,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.37000000000000455,0.0,0.0,-96.99,47.26,0.0,48.40000000000003,-188.2,0.0,0.0,0.0,190.0,-429.99,433.0,-2.99,0.0,0.0,0.0,0.0,-0.7,0.0,47.15000000000007,0.0,0.0,0.0,SI,2019-07-11 23:07:50.661,500.0
24,-314.95,-43.9,-87.83,-117.46999999999998,124.58,-33.440000000000005,797.4100000000003,-277.6,-145.38,771.92,-48.02,-30.6,-72.69,-239.96,-157.77,-97.45,55.70999999999998,-1199.78,-29.760000000000005,27.800000000000004,1343.32,-20.729999999999997,-97.14,121.73000000000002,-510.34,-42.74,-30.16000000000001,48.62000000000001,-174.44,-144.07999999999996,-239.4,-638.87,20.44,-31.52,1516.6100000000006,186.32,-160.58,-111.43,-62.49000000000001,-71.0,-111.42,-115.77,-161.82000000000005,-208.3,184.71,50.73,-63.78,-64.30999999999999,1187.7100000000005,-93.48,44.970000000000056,-77.08,-61.47,-0.75,-124.83,-11.66,-77.60000000000002,-32.51,-127.26999999999998,125.0,-19.980000000000004,-446.84,1151.08,-54.03,-35.66,-93.22,-57.11,-11.12,-33.39,-258.54,15.63,-76.46,-278.04,-4.659999999999997,-53.34,-329.8300000000001,1235.42,0.0,0.0,-25.74,-48.67,0.0,-71.09,-74.82000000000002,-12.18,-110.73,-81.56,20.99,-35.47,-281.29,SI,2019-07-12 18:30:39.615,1500.0
27,-97.81,212.02,0.0,-29.0,-181.9,-2.85,0.0,0.0,0.0,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI,2019-07-13 20:41:09.582,130.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-417.52,-92.96,-269.1,-439.88,-102.26,-186.12,-89.37,-166.72,-268.84,31.199999999999992,-395.54,-116.83,-190.14,2261.83,-424.18,-256.32000000000005,52.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-151.43,-2639.8,2800.0,-0.7,-2.5,0.0,0.0,-9.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI,2019-07-13 21:12:17.249,230.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.22,-300.0,0.0,100.0,200.0,0.0,0.0,-400.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI,2019-07-14 05:16:36.069,250.0
30,-74.98,74.98,-0.3,-1.29,0.0,-12.830000000000002,0.0,-10.29,0.0,-252.42,-262.06,301.0,0.0,0.0,-5.0,0.19,0.0,0.5,558.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,-5.0,4.49,0.0,0.0,0.0,0.0,-9.49,11.619999999999996,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.0,-1.07,0.0,0.0,-7.1099999999999985,8.090000000000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,5.204170427930421e-18,0.0,SI,2019-07-14 07:04:53.549,390.0
31,0.0,-30.0,-30.0,-60.0,-60.0,-60.0,-13.85,-95.65,-243.11,0.0,-68.83000000000011,-438.24,-398.0,0.0,-31.32,52.0,1145.0,-179.99,-581.96,-2847.76,-440.98,-510.62,-2977.02,4607.459999999999,2922.11,-152.42,-574.48,-32.49,-505.25,1493.0099999999993,-60.0,-60.0,-69.99,55.23,-346.2100000000001,-462.59,-4593.990000000002,-506.36,5940.0,-313.17,-2316.33,-51.87000000000001,-189.79,2861.2200000000007,-465.54,-621.21,1167.6999999999996,0.0,0.0,0.0,-141.25,-3976.9,3303.590000000001,-19.949999999999818,-479.45,-560.1500000000002,-127.62,-930.51,2831.96,-179.0,114.52,-439.0,-28.22,-238.64,-1407.59,-1239.35,1813.5900000000006,-816.2900000000002,-504.29,-61.01000000000001,-80.60999999999999,1264.92,-529.48,-403.18,-878.8,3677.09,0.0,0.0,-60.0,-226.89,-479.58,-590.4200000000002,-714.09,-37.61,-58.78,836.6099999999999,-219.2800000000001,-1395.0700000000004,-1039.02,2833.5199999999995,SI,2019-07-14 10:31:28.612,3900.0
